ts,"t1s_belastning | powerlab/bornholm/nm/sec/nex/t1s_belastning | 515976","t1p_belastningil3 | powerlab/bornholm/nm/sec/nex/t1p_belastningil3 | 515973","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/nex/t1s_reaktiveffekt | 515979","t2s_sptrinvisning | powerlab/bornholm/nm/sec/nex/t2s_sptrinvisning | 516003","t2s_belastning | powerlab/bornholm/nm/sec/nex/t2s_belastning | 515992","t2s_cosphi | powerlab/bornholm/nm/sec/nex/t2s_cosphi | 515993","t1s_spendingvl1 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl1 | 515981","t2s_aktiveffekt | powerlab/bornholm/nm/sec/nex/t2s_aktiveffekt | 515991","t2p_belastningil1 | powerlab/bornholm/nm/sec/nex/t2p_belastningil1 | 515987","t1p_belastningil1 | powerlab/bornholm/nm/sec/nex/t1p_belastningil1 | 515971","t1s_sptrinvisning | powerlab/bornholm/nm/sec/nex/t1s_sptrinvisning | 515985","t2s_spendingvl1 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl1 | 515999","t1p_belastningil2 | powerlab/bornholm/nm/sec/nex/t1p_belastningil2 | 515972","t1s_cosphi | powerlab/bornholm/nm/sec/nex/t1s_cosphi | 515977","t1s_spendingvl2 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl2 | 515982","t1s_spendingvl3 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl3 | 515983","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/nex/t1s_cosphitrf1 | 516007","t2s_cosphitrf2 | powerlab/bornholm/nm/sec/nex/t2s_cosphitrf2 | 515994","t2s_frekvens | powerlab/bornholm/nm/sec/nex/t2s_frekvens | 515996","t2s_spendingvl2 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl2 | 516000","t2p_belastningil3 | powerlab/bornholm/nm/sec/nex/t2p_belastningil3 | 515989","t2s_reaktiveffekt | powerlab/bornholm/nm/sec/nex/t2s_reaktiveffekt | 515997","t2s_spendingvl3 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl3 | 516001","t1s_frekvens | powerlab/bornholm/nm/sec/nex/t1s_frekvens | 515978","t1s_aktiveffekt | powerlab/bornholm/nm/sec/nex/t1s_aktiveffekt | 515975","t2p_belastningil2 | powerlab/bornholm/nm/sec/nex/t2p_belastningil2 | 515988"
"2022-03-08 00:05:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99770349264145,,,,,,,,
"2022-03-08 00:05:40",,,,,,,,,,,,,,,,,,,50.040588378906,,,,,,,
"2022-03-08 00:05:42",,,,,,-4.9971008300781,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:05:45",,,,,,-4.9971008300781,,,,,,,,,,,0.49999997019768,0.99770349264145,,,,,,,,
"2022-03-08 00:05:52",,,,,,,,,,,,,,,,,,0.99619913101196,,,,,,,,
"2022-03-08 00:05:55",,,,,,,,,,,,,,,,,0.49999997019768,0.99619913101196,,,,,,,,
"2022-03-08 00:06:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99619913101196,,,,,,,,
"2022-03-08 00:06:07",,,,,,,,,,,,,,,,,,,,,15.293435096741,,,,,
"2022-03-08 00:06:08",,,,,,-4.2939567565918,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:06:10",,,,,,-4.2939567565918,,,,,,,,,,,,,,,15.293435096741,,,,,
"2022-03-08 00:06:15",,,,,,,,,,,,,,,,,0.49999997019768,0.99719303846359,,,,,,,,
"2022-03-08 00:06:25",,,,,,,,,,,,,,,,,0.49999997019768,0.99719303846359,,,,,,,,
"2022-03-08 00:06:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99719303846359,,,,,,,,
"2022-03-08 00:06:45",,,,,,,,,,,,,,,,,0.49999997019768,0.99719303846359,,,,,,,,
"2022-03-08 00:06:55",,,,,,-3.4443168640137,,,,,,,,,,,0.49999997019768,0.99719303846359,,,,,,,,
"2022-03-08 00:07:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99819368124008,,,,,,,,
"2022-03-08 00:07:10",,,,,,,,1.6882476806641,,,,,,,,,,,,,,,,,,
"2022-03-08 00:07:12",,,,,,-4.2353591918945,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:07:15",,,,,,-4.2353591918945,,,,,,,,,,,0.49999997019768,0.99726909399033,,,,,,,,
"2022-03-08 00:07:25",,,,,,,,,,,,,,,,,0.49999997019768,0.99726909399033,,,,,,,,
"2022-03-08 00:07:35",,,,5.9126253128052,,,,,,,,,,,,,0.49999997019768,0.99726909399033,,,,,,,,
"2022-03-08 00:07:40",,,,,,,,,,,,,,,,,,,,,,-0.10605621337891,,,,15.234840393066
"2022-03-08 00:07:45",,,,,,,,,,,,,,,,,0.49999997019768,0.99726909399033,,,,,,,,
"2022-03-08 00:07:52",,,,,,-3.8251914978027,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:07:55",,,,,,-3.8251914978027,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:10",,,,,,,,,,,,,,,,,,,,6.2076506614685,,,,,,
"2022-03-08 00:08:15",,,,,,,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:25",,,,5.9160437583923,,,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:37",,,,,,,,,15.820795059204,,,,,,,,,,49.923397064209,,,,,,,
"2022-03-08 00:08:40",,,,,,,,,15.820795059204,,,,,,,,,,49.923397064209,,,,,,,
"2022-03-08 00:08:45",,,,,,,,,,,,,,,,,0.49999997019768,0.99777221679688,,,,,,,,
"2022-03-08 00:08:47",,,,,,-3.4736175537109,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:08:50",,,,,,-3.4736175537109,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:08:52",,,,,,,,,,,,,,,,,,,,,15.99658203125,,,,,
"2022-03-08 00:08:55",,,,,,,,,,,,,,,,,0.49999997019768,0.99816280603409,,,15.99658203125,,,,,
"2022-03-08 00:09:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99816280603409,,,,,,,,
"2022-03-08 00:09:15",,,,,,,,,,,,,,,,,0.49999997019768,0.99816280603409,,,,,,,,
"2022-03-08 00:09:22",,,,,,,,,,,,,,,,,,,,,15.527817726135,,,,,
"2022-03-08 00:09:25",,,,,,,,1.7207260131836,,,,,,,,,0.49999997019768,0.99816280603409,,,15.527817726135,,,,,
"2022-03-08 00:09:29",,,,,,-4.2646560668945,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:09:30",,,,,,-4.2646560668945,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:09:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:09:40",,,,,,,,,,,,6.1839699745178,,,,,,,,,,,,,,
