ts,"t1s_spendingvl3 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl3 | 515706","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/bod/t1s_reaktiveffekt | 515702","lok_10kvskinnespend | powerlab/bornholm/nm/sec/bod/lok_10kvskinnespend | 516444","t1s_aktiveffekt | powerlab/bornholm/nm/sec/bod/t1s_aktiveffekt | 515696","t1p_belastningil1 | powerlab/bornholm/nm/sec/bod/t1p_belastningil1 | 515692","t1s_belastning | powerlab/bornholm/nm/sec/bod/t1s_belastning | 515697","t1s_cosphi | powerlab/bornholm/nm/sec/bod/t1s_cosphi | 515698","t1s_spendingvl2 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl2 | 515705","t2s_sptrinvisning | powerlab/bornholm/nm/sec/bod/t2s_sptrinvisning | 515710","t1p_belastningil2 | powerlab/bornholm/nm/sec/bod/t1p_belastningil2 | 515693","t1s_frekvens | powerlab/bornholm/nm/sec/bod/t1s_frekvens | 515701","t1s_sptrinvisning | powerlab/bornholm/nm/sec/bod/t1s_sptrinvisning | 515707","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/bod/t1s_cosphitrf1 | 515699","t1s_spendingvl1 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl1 | 515704","t1p_belastningil3 | powerlab/bornholm/nm/sec/bod/t1p_belastningil3 | 515694"
"2022-03-08 00:16:55",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:17:05",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:17:10",,,,,,94.770965576172,,,,,,,,,
"2022-03-08 00:17:15",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:17:25",,1.5500602722168,,,,,,,,,,,0.94020891189575,,16.875514984131
"2022-03-08 00:17:35",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:17:43",,,,,,,-21.202430725098,,,,,,,,
"2022-03-08 00:17:45",,,,,,,-21.202430725098,,,,,,0.94020891189575,,
"2022-03-08 00:17:53",,,,,,,,,,,,,0.93230843544006,,
"2022-03-08 00:17:55",,,,,,,,,,,,,0.93230843544006,,
"2022-03-08 00:18:05",,,,,,,,,,,,,0.93230843544006,,
"2022-03-08 00:18:11",,,,,,,-19.268775939941,,,,,,0.94398093223572,,
"2022-03-08 00:18:15",,,,,,,-19.268775939941,,,,,,0.94398093223572,,
"2022-03-08 00:18:25",,,,,,,,,,,,,0.94398093223572,,
"2022-03-08 00:18:34",,,,,,,-20.118412017822,,,,,,,,
"2022-03-08 00:18:35",,,,,,,-20.118412017822,,,,,,0.94398093223572,,
"2022-03-08 00:18:40",,,,,17.168493270874,,,,,,,,,,
"2022-03-08 00:18:42",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:18:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:18:55",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:18:57",,,10.622760772705,,,,,,,,,,,,
"2022-03-08 00:19:00",,,10.622760772705,,,,,,,,,,,,
"2022-03-08 00:19:05",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:19:10",6.1132235527039,,,,,,,,,,,5.693868637085,,,
"2022-03-08 00:19:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:19:25",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:19:35",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:19:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:19:55",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:05",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:10",,,,,,,,,,17.168493270874,,5.6972870826721,,,
"2022-03-08 00:20:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:21",,,,,16.875514984131,,,,,,,,,,
"2022-03-08 00:20:25",,,,,16.875514984131,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:35",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:20:55",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:05",6.1112704277039,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:24",,,10.612995147705,,,,,,,,,,,,
"2022-03-08 00:21:25",,,10.612995147705,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:35",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:21:55",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:22:05",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:22:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:22:25",,,,,17.051301956177,,,,,,,,0.93898373842239,,17.051301956177
"2022-03-08 00:22:35",6.1054110527039,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:22:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:22:55",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:00",,,,,,,,,,,,5.693868637085,,,
"2022-03-08 00:23:05",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:25",,,,0.28054046630859,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:35",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:45",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:23:50",,,,,,,,,,,,5.6972870826721,,,
"2022-03-08 00:23:55",,,,,,,,,,17.34428024292,,,0.93898373842239,,
"2022-03-08 00:24:05",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:24:15",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:24:25",,,,,,,,,,,,,0.93898373842239,,
"2022-03-08 00:24:32",,,,,,,-19.854728698731,,,,,,,,
"2022-03-08 00:24:35",,,,,,,-19.854728698731,,,,,,0.93898373842239,,16.582536697388
"2022-03-08 00:24:45",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:24:51",,1.5228576660156,,,,,,,,16.816919326782,,,,,
"2022-03-08 00:24:55",,1.5228576660156,,,,,,,,16.816919326782,,,0.94055676460266,,
"2022-03-08 00:25:05",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:25:15",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:25:25",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:25:31",,,,,,92.309951782227,,,,,,,,,
"2022-03-08 00:25:35",,,,,,92.309951782227,,,,,,,0.94055676460266,,
"2022-03-08 00:25:40",,,,,16.816919326782,,,,,,,,,,
"2022-03-08 00:25:45",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:25:55",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:26:05",,,,0.24427032470703,,,,,,,,,0.94055676460266,,
"2022-03-08 00:26:15",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:26:22",,,,,,94.419387817383,,,,,,,,,
"2022-03-08 00:26:25",,,,,,94.419387817383,,,,,,5.693868637085,0.94055676460266,,
"2022-03-08 00:26:35",,,10.615924835205,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:26:36",,,,,,,,,,17.168493270874,,,,,16.875514984131
"2022-03-08 00:26:40",,,,,,,,,,17.168493270874,,,,,16.875514984131
"2022-03-08 00:26:45",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:26:55",6.1093173027039,,,,16.934110641479,,,,,,,,0.94055676460266,,
"2022-03-08 00:27:05",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:27:10",,1.5591278076172,,,,,,,,,,,,,
"2022-03-08 00:27:15",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:27:20",,,,,,,,,,,,5.6972870826721,,,
"2022-03-08 00:27:25",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:27:35",,,,,,,,,,16.816919326782,,,0.94055676460266,,
"2022-03-08 00:27:45",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:27:55",,,,,,,,,,,,,0.94055676460266,,
"2022-03-08 00:28:00",,,,,,,-19.766838073731,,,,,,,,
"2022-03-08 00:28:02",,,,,,,,,,,,,0.94107663631439,,
"2022-03-08 00:28:05",,,,0.2714729309082,,,,,,,,,0.94107663631439,,
"2022-03-08 00:28:15",,,,,,,,,,,,,0.94107663631439,,
