ts,"t1p_belastningil3 | powerlab/bornholm/nm/sec/ost/t1p_belastningil3 | 516132","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_reaktiveffekt | 516139","t1s_cosphi | powerlab/bornholm/nm/sec/ost/t1s_cosphi | 516136","t1s_frekvens | powerlab/bornholm/nm/sec/ost/t1s_frekvens | 516138","t1s_sptrinvisning | powerlab/bornholm/nm/sec/ost/t1s_sptrinvisning | 516143","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/ost/t1s_cosphitrf1 | 516137","t1s_belastning | powerlab/bornholm/nm/sec/ost/t1s_belastning | 516135","t1s_spendingvl3 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl3 | 516142","t1s_10kvskinnespend | powerlab/bornholm/nm/sec/ost/t1s_10kvskinnespend | 516133","t1s_spendingvl2 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl2 | 516141","t1s_aktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_aktiveffekt | 516134","t1s_spendingvl1 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl1 | 516140","t1p_belastningil2 | powerlab/bornholm/nm/sec/ost/t1p_belastningil2 | 516131","t1p_belastningil1 | powerlab/bornholm/nm/sec/ost/t1p_belastningil1 | 516130"
"2024-03-11 08:22:05",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:22:13",15.410626411438,,,,,,,,,,,,,
"2024-03-11 08:22:15",15.410626411438,,,,,0.869637787342072,,,,,1.61953926086426,,,
"2024-03-11 08:22:25",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:22:30",,,,,,,,,,,,6.02835607528687,15.4692220687866,15.4692220687866
"2024-03-11 08:22:35",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:22:45",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:22:51",,,-30.2865695953369,,,,,,,,,,,
"2024-03-11 08:22:52",,,,,,0.863513827323914,,,,,,,,
"2024-03-11 08:22:55",,,-30.2865695953369,,,0.863513827323914,,,,,,,,
"2024-03-11 08:23:00",,,,,,,,,,,1.5830020904541,,,
"2024-03-11 08:23:05",,,,,,0.863513827323914,93.7821578979492,,,,,,,
"2024-03-11 08:23:12",,-0.617319107055664,,,,,,,,,,,,
"2024-03-11 08:23:15",,-0.617319107055664,,,,0.863513827323914,,5.98437786102295,,,,,,
"2024-03-11 08:23:25",,,,,,0.863513827323914,,,,,,,,
"2024-03-11 08:23:27",15.1176490783691,,,,,,,,,,,,,
"2024-03-11 08:23:30",15.1176490783691,,,,,,,,,,,,,
"2024-03-11 08:23:35",,,,,,0.863513827323914,,,,,,,,
"2024-03-11 08:23:42",,,-31.0336608886719,,,0.85686457157135,,,,,,,,
"2024-03-11 08:23:45",,,-31.0336608886719,,,0.85686457157135,,,,,,,,
"2024-03-11 08:23:55",,,,,,0.85686457157135,,,,,,,,
"2024-03-11 08:24:00",,,,49.9819946289063,,,,,,,,,,
"2024-03-11 08:24:05",,,,,,0.85686457157135,,,,,,,,
"2024-03-11 08:24:15",,,,,,0.85686457157135,,,,6.09601449966431,,,,
"2024-03-11 08:24:25",,,,,,0.85686457157135,,,,,,,,
"2024-03-11 08:24:35",,,,,,0.85686457157135,,,,,,,,
"2024-03-11 08:24:42",,,-30.3305149078369,,,0.863126695156097,,,,,,,,
"2024-03-11 08:24:43",15.6450090408325,,,,,,,,,,1.63577842712402,,15.8793907165527,
"2024-03-11 08:24:45",15.6450090408325,,-30.3305149078369,,,0.863126695156097,,,,,1.63577842712402,,15.8793907165527,
"2024-03-11 08:24:55",,,,,,0.863126695156097,,,,,,,,
"2024-03-11 08:25:05",,,,,,0.863126695156097,,,,,,,,
"2024-03-11 08:25:14",,,,,,,,,,,,,,15.8793907165527
"2024-03-11 08:25:15",,,,,,0.863126695156097,,,,,,,,15.8793907165527
"2024-03-11 08:25:25",,,,,,0.863126695156097,,,,,,,,
"2024-03-11 08:25:33",,,,,,,96.1259765625,,,,,,,
"2024-03-11 08:25:35",,,,,,0.863126695156097,96.1259765625,,,,,,,
"2024-03-11 08:25:43",,,,,,,,,,,,,16.1723690032959,
"2024-03-11 08:25:45",,,,,,0.863126695156097,,,,,1.65201759338379,,16.1723690032959,
"2024-03-11 08:25:52",,,-30.857873916626,,,0.85844224691391,,,,,,,,
"2024-03-11 08:25:55",,,-30.857873916626,,,0.85844224691391,,,,,,,,
"2024-03-11 08:25:57",,,,,,,,,10.484938621521,,,,,
"2024-03-11 08:25:59",16.1723690032959,,,,,,,,,,,,,
"2024-03-11 08:26:00",16.1723690032959,,,,,,,,10.484938621521,6.08586549758911,,,,
"2024-03-11 08:26:05",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:26:13",,-0.560483932495117,,,,,,,,,1.7088508605957,,16.8169193267822,
"2024-03-11 08:26:15",,-0.560483932495117,,,,0.85844224691391,,,,,1.7088508605957,6.02497291564941,16.8169193267822,
"2024-03-11 08:26:25",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:26:28",,-0.621377944946289,,,,,,,,,1.65201759338379,,,
"2024-03-11 08:26:30",,-0.621377944946289,,,,,,,,,1.65201759338379,,,
"2024-03-11 08:26:35",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:26:43",15.7036037445068,,,,,,,,,,,,15.99658203125,
"2024-03-11 08:26:45",15.7036037445068,,,,,0.85844224691391,,,,,,,15.99658203125,
